Job Title | Company | Location | Expiry Date | Job Description
Software Developer | TechZim | Harare | 2025-04-20 | Design, develop, and maintain software systems.
Marketing Officer | ZimMarketing Inc. | Bulawayo | 2025-04-22 | Develop marketing strategies and campaigns.
Finance Intern | FinTrust Bank | Mutare | 2025-04-25 | Assist the finance department in reporting tasks.
Graphic Designer | Creative Studios | Harare | 2025-04-21 | Create visual content for digital and print media.
Customer Service Agent | TelOne | Gweru | 2025-04-23 | Provide assistance to customers and resolve issues.
Project Manager | BuildZim | Chitungwiza | 2025-04-24 | Manage project execution, resources, and schedules.
Accountant | AuditPro | Masvingo | 2025-04-22 | Handle financial reporting and compliance audits.
HR Assistant | PeopleFirst HR | Harare | 2025-04-26 | Assist in recruitment and employee onboarding.
Data Analyst | DataHub | Bulawayo | 2025-04-25 | Interpret complex data and create dashboards.
Admin Assistant | ZimAdmin | Kadoma | 2025-04-27 | Maintain office operations and documentation.
